Date time,Status,ACCX,ANGX,ANGVX,ACCY,ANGY,ANGVY,ACCZ,ANGZ,ANGVZ
2024-09-08 오전 12:39:03,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:03,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:06,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:08,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:08,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:08,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:08,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:09,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:09,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:09,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:09,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:09,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:09,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:09,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:09,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:09,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:09,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:09,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:11,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:11,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:11,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:11,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:11,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:11,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:11,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:11,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:11,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:11,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:12,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:12,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:12,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:13,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:13,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:13,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:13,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:13,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:13,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:14,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:14,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:14,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:14,Rec,0,0,0,0,0,0,0,0,0
2024-09-08 오전 12:39:14,Rec,0,0,0,0,0,0,0,0,0
