Date time,EVENT
2024-09-08 오전 12:20:04,EV_Fiber13번,Connecting
2024-09-08 오전 12:20:04,TRY,Reconnection
2024-09-08 오전 12:20:04,EV_Vibe13번,Opened
2024-09-08 오전 12:20:16,EV_Fiber13번,Connecting
2024-09-08 오전 12:20:16,TRY,Reconnection
2024-09-08 오전 12:20:16,EV_Vibe13번,Opened
2024-09-08 오전 12:20:28,EV_Fiber13번,Connecting
2024-09-08 오전 12:20:28,TRY,Reconnection
2024-09-08 오전 12:20:28,EV_Vibe13번,Opened
2024-09-08 오전 12:20:40,EV_Fiber13번,Connecting
2024-09-08 오전 12:20:40,TRY,Reconnection
2024-09-08 오전 12:20:40,EV_Vibe13번,Opened
2024-09-08 오전 12:20:52,EV_Fiber13번,Connecting
2024-09-08 오전 12:20:52,TRY,Reconnection
2024-09-08 오전 12:20:52,EV_Vibe13번,Opened
2024-09-08 오전 12:21:04,EV_Fiber13번,Connecting
2024-09-08 오전 12:21:04,TRY,Reconnection
2024-09-08 오전 12:21:04,EV_Vibe13번,Opened
2024-09-08 오전 12:21:16,EV_Fiber13번,Connecting
2024-09-08 오전 12:21:16,TRY,Reconnection
2024-09-08 오전 12:21:16,EV_Vibe13번,Opened
2024-09-08 오전 12:21:28,EV_Fiber13번,Connecting
2024-09-08 오전 12:21:28,TRY,Reconnection
2024-09-08 오전 12:21:28,EV_Vibe13번,Opened
2024-09-08 오전 12:21:40,EV_Fiber13번,Connecting
2024-09-08 오전 12:21:40,TRY,Reconnection
2024-09-08 오전 12:21:40,EV_Vibe13번,Opened
2024-09-08 오전 12:21:52,EV_Fiber13번,Connecting
2024-09-08 오전 12:21:52,TRY,Reconnection
2024-09-08 오전 12:21:52,EV_Vibe13번,Opened
2024-09-08 오전 12:22:04,EV_Fiber13번,Connecting
2024-09-08 오전 12:22:04,TRY,Reconnection
2024-09-08 오전 12:22:04,EV_Vibe13번,Opened
2024-09-08 오전 12:22:16,EV_Fiber13번,Connecting
2024-09-08 오전 12:22:16,TRY,Reconnection
2024-09-08 오전 12:22:16,EV_Vibe13번,Opened
2024-09-08 오전 12:22:28,EV_Fiber13번,Connecting
2024-09-08 오전 12:22:28,TRY,Reconnection
2024-09-08 오전 12:22:28,EV_Vibe13번,Opened
2024-09-08 오전 12:22:40,EV_Fiber13번,Connecting
2024-09-08 오전 12:22:40,TRY,Reconnection
2024-09-08 오전 12:22:40,EV_Vibe13번,Opened
2024-09-08 오전 12:22:52,EV_Fiber13번,Connecting
2024-09-08 오전 12:22:52,TRY,Reconnection
